id,data_inversa,ano,mes,uf,br,km,obra_duplicada,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude
264236,21/01/2020,2020,1,MG,381,345,sem obra,5,1,0,1,0,0,0,1,1,-1.984.209.139,-4.309.980.914
264240,21/01/2020,2020,1,MG,381,336,sem obra,5,5,0,4,0,1,0,4,1,-1.982.119.502,-4.307.407.899
264244,21/01/2020,2020,1,MG,381,729,sem obra,5,6,0,1,0,5,0,1,3,-2.153.065.495,-4.523.082.007
264249,21/01/2020,2020,1,MG,381,498.7,sem obra,5,3,0,2,0,1,0,2,2,-2.001.172.662,-4.421.976.041
264298,09/01/2020,2020,1,MG,381,483.3,sem obra,5,2,0,1,0,1,0,1,2,-1.995.594.491,-4.410.721.699
264312,21/01/2020,2020,1,MG,381,815.4,sem obra,13,3,1,2,0,0,0,2,1,-2.208.771.284,-4.570.503.017
264339,22/01/2020,2020,1,MG,381,792.5,sem obra,5,1,0,1,0,0,0,1,1,-2.191.931.581,-4.559.934.602
264422,22/01/2020,2020,1,MG,381,444,sem obra,5,4,0,3,0,1,0,3,2,-1.982.360.393,-4.382.539.293
264449,22/01/2020,2020,1,MG,381,686,sem obra,5,2,0,2,0,0,0,2,1,-2.120.030.689,-4.511.944.438
264553,23/01/2020,2020,1,MG,381,343.7,sem obra,5,1,0,1,0,0,0,1,1,-1.985.663.904,-4.310.916.603
264571,23/01/2020,2020,1,MG,381,704.5,sem obra,5,2,0,2,0,0,0,2,1,-2.134.177.704,-4.517.643.719
264577,23/01/2020,2020,1,MG,381,697.4,sem obra,13,2,2,0,0,0,0,0,1,-2.129.043.096,-4.514.791.909
264586,23/01/2020,2020,1,MG,381,937.3,sem obra,5,4,0,1,0,3,0,1,1,-2.281.209.888,-4.628.668.327
264610,23/01/2020,2020,1,MG,381,704.1,sem obra,5,1,0,1,0,0,0,1,1,-2.130.970.168,-4.516.183.728
264618,23/01/2020,2020,1,MG,381,838.5,sem obra,5,5,0,3,0,2,0,3,2,-2.219.252.695,-4.584.775.906
264644,23/01/2020,2020,1,MG,381,250,sem obra,5,5,0,2,0,1,2,2,2,-1.948.378.419,-4.255.378.491
264650,23/01/2020,2020,1,MG,381,905.2,sem obra,5,1,0,1,0,0,0,1,1,-2.266.142.316,-4.608.856.458
264652,23/01/2020,2020,1,MG,381,491,sem obra,5,3,0,1,0,2,0,1,2,-1.996.812.212,-44.176.408
264654,23/01/2020,2020,1,MG,381,646,sem obra,5,4,0,4,0,0,0,4,1,-2.094.498.781,-448.811.245
264668,23/01/2020,2020,1,MG,381,454,sem obra,5,3,0,1,0,2,0,1,2,-1.984.164.356,-4.386.832.237
264671,23/01/2020,2020,1,MG,381,176,sem obra,5,1,0,0,1,0,0,1,1,-1.900.964.517,-4.213.648.886
264675,23/01/2020,2020,1,MG,381,488,sem obra,5,2,0,0,1,1,0,1,2,-199.598.656,-4.415.489.715
264736,24/01/2020,2020,1,MG,381,501.9,sem obra,1,1,0,0,0,0,1,0,1,-2.003.146.447,-442.377.893
