id,data_inversa,ano,mes,uf,br,km,Duplicação,UPS/km,UPS,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
264212,21/01/2020,2020,1,MG,381,671,sem obra,0.00565610859728507,5,4,0,2,1,1,0,3,1
264236,21/01/2020,2020,1,MG,381,345,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264240,21/01/2020,2020,1,MG,381,336,sem obra,0.00565610859728507,5,5,0,4,0,1,0,4,1
264244,21/01/2020,2020,1,MG,381,729,sem obra,0.00565610859728507,5,6,0,1,0,5,0,1,3
264249,21/01/2020,2020,1,MG,381,498.7,sem obra,0.00565610859728507,5,3,0,2,0,1,0,2,2
264298,09/01/2020,2020,1,MG,381,483.3,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
264312,21/01/2020,2020,1,MG,381,815.4,sem obra,0.0147058823529412,13,3,1,2,0,0,0,2,1
264339,22/01/2020,2020,1,MG,381,792.5,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264422,22/01/2020,2020,1,MG,381,444,sem obra,0.00565610859728507,5,4,0,3,0,1,0,3,2
264449,22/01/2020,2020,1,MG,381,686,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
264553,23/01/2020,2020,1,MG,381,343.7,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264571,23/01/2020,2020,1,MG,381,704.5,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
264577,23/01/2020,2020,1,MG,381,697.4,sem obra,0.0147058823529412,13,2,2,0,0,0,0,0,1
264586,23/01/2020,2020,1,MG,381,937.3,sem obra,0.00565610859728507,5,4,0,1,0,3,0,1,1
264610,23/01/2020,2020,1,MG,381,704.1,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264618,23/01/2020,2020,1,MG,381,838.5,sem obra,0.00565610859728507,5,5,0,3,0,2,0,3,2
264644,23/01/2020,2020,1,MG,381,250,sem obra,0.00565610859728507,5,5,0,2,0,1,2,2,2
264650,23/01/2020,2020,1,MG,381,905.2,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264652,23/01/2020,2020,1,MG,381,491,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
264654,23/01/2020,2020,1,MG,381,646,sem obra,0.00565610859728507,5,4,0,4,0,0,0,4,1
264668,23/01/2020,2020,1,MG,381,454,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
264671,23/01/2020,2020,1,MG,381,176,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
264675,23/01/2020,2020,1,MG,381,488,sem obra,0.00565610859728507,5,2,0,0,1,1,0,1,2
264736,24/01/2020,2020,1,MG,381,501.9,sem obra,0.00113122171945701,1,1,0,0,0,0,1,0,1
264737,24/01/2020,2020,1,MG,381,501.9,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
264744,23/01/2020,2020,1,MG,381,386,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
264777,24/01/2020,2020,1,MG,381,597,sem obra,0.00565610859728507,5,12,0,7,0,5,0,7,6
264780,24/01/2020,2020,1,MG,381,487,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
264784,24/01/2020,2020,1,MG,381,697.7,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,1
264805,24/01/2020,2020,1,MG,381,348,sem obra,0.00565610859728507,5,4,0,4,0,0,0,4,1
264809,24/01/2020,2020,1,MG,381,705.5,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
264828,24/01/2020,2020,1,MG,381,159.5,sem obra,0.00565610859728507,5,3,0,3,0,0,0,3,1
264849,24/01/2020,2020,1,MG,381,635.8,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
264885,24/01/2020,2020,1,MG,381,343,sem obra,0.00113122171945701,1,3,0,0,0,2,1,0,2
264968,25/01/2020,2020,1,MG,381,829.9,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
264999,25/01/2020,2020,1,MG,381,752.8,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
265001,25/01/2020,2020,1,MG,381,664.8,sem obra,0.00113122171945701,1,1,0,0,0,1,0,0,1
265049,25/01/2020,2020,1,MG,381,936,sem obra,0.00565610859728507,5,2,0,1,0,0,1,1,1
265054,25/01/2020,2020,1,MG,381,481.4,sem obra,0.00113122171945701,1,3,0,0,0,3,0,0,3
265071,25/01/2020,2020,1,MG,381,512.6,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
265099,25/01/2020,2020,1,MG,381,525,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
265121,25/01/2020,2020,1,MG,381,505,sem obra,0.00565610859728507,5,3,0,1,0,0,2,1,2
265131,25/01/2020,2020,1,MG,381,849.5,sem obra,0.00565610859728507,5,5,0,1,0,4,0,1,1
265230,26/01/2020,2020,1,MG,381,732.7,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
265287,26/01/2020,2020,1,MG,381,499,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
265385,27/01/2020,2020,1,MG,381,587.4,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
265392,27/01/2020,2020,1,MG,381,666.2,sem obra,0.00113122171945701,1,2,0,0,0,2,0,0,2
265399,27/01/2020,2020,1,MG,381,484.8,sem obra,0.00565610859728507,5,6,0,1,1,4,0,2,5
265504,27/01/2020,2020,1,MG,381,386,sem obra,0.00565610859728507,5,3,0,1,0,2,0,1,2
265506,27/01/2020,2020,1,MG,381,230.5,sem obra,0.00565610859728507,5,31,0,28,0,3,0,28,3
265676,28/01/2020,2020,1,MG,381,477.2,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
265700,16/01/2020,2020,1,MG,381,709.5,sem obra,0.00565610859728507,5,2,0,2,0,0,0,2,1
265713,28/01/2020,2020,1,MG,381,364,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
265747,29/01/2020,2020,1,MG,381,540.6,sem obra,0.00565610859728507,5,1,0,0,1,0,0,1,1
265759,29/01/2020,2020,1,MG,381,477.6,sem obra,0.00565610859728507,5,2,0,1,0,1,0,1,2
265762,28/01/2020,2020,1,MG,381,375,sem obra,0.00565610859728507,5,1,0,1,0,0,0,1,1
265794,29/01/2020,2020,1,MG,381,355,sem obra,0.00565610859728507,5,6,0,3,0,2,1,3,3
